Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.165409
Longitude: -34.815627
Altitude: 33.5
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2013-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-29;26;1005,041667;22,975;29;25,283333;23,1;87,458333;68;6,3;1,1625;
2008-03-30;83,2;1004,566667;23,225;29,4;25,216667;23,1;88,916667;69;13,4;1,183333;
2008-03-31;24,8;1004,375;22,8625;28,1;25,175;23,1;87,291667;75;7,2;1,741667;
2008-04-01;0;1003,920833;22,6125;31;26,45;23,3;80,416667;58;7,8;1,479167;
2008-04-02;0;1004,241667;22,55;30;26,425;23,4;80,083333;63;7,4;1,3375;
2008-04-03;0;1004,683333;20,833333;30,6;26,479167;22,6;72,625;50;7;1,116667;
2008-04-04;0;1005,0625;21,691667;30,8;26,395833;21,7;76,25;56;6,7;1,3875;
2008-04-05;0;1005,729167;22,85;30,6;26,529167;23,8;80,666667;63;6,5;1,5375;
2008-04-06;0;1005,941667;22,6125;30,7;26,4875;23,3;80,166667;59;5,5;1,354167;
2008-04-07;14,2;1006,5625;22,766667;29,8;25,858333;23,5;83,541667;66;9,1;1,3125;
2008-04-08;,6;1007,020833;22,854167;30,4;26,783333;23,6;79,75;59;8;1,345833;
2008-04-09;57,6;1007,270833;22,370833;29,2;25,15;22,9;85,208333;63;6,7;1,704167;
2008-04-10;1,8;1004,933333;22,029167;30,5;26,75;22,6;76,041667;58;8,9;2,1625;
2008-04-11;5;1003,791667;22,5125;30,2;26,075;23,7;81,333333;60;7,4;1,654167;
2008-04-12;3,6;1004,333333;22,408333;30,2;26,508333;23,1;79,083333;60;6,4;1,3;
2008-04-13;13,4;1005,416667;23,054167;27,1;25,291667;24;87,625;77;6;1,2;
2008-04-14;7,6;1006,025;22,8125;30,1;25,695833;23,1;84,708333;63;5,2;1,2;
2008-04-15;6,4;1006,408333;22,5625;29,9;26,079167;23,2;81,916667;60;5,7;1,208333;
2008-04-16;21;1007,033333;22,65;30,5;26,708333;22,2;79,416667;57;14,4;1,720833;
2008-04-17;0;1007,4875;22,2875;30,8;27,545833;23,2;73,625;58;15,8;2,266667;
2008-04-18;1,4;1006,545833;22,75;31,2;27,045833;23,3;78,208333;56;15,8;1,529167;
2008-04-19;1;1006,2125;22,979167;30,5;26,3625;23,6;82,291667;60;8;1,829167;
2008-04-20;62,8;1006,658333;23,120833;30,1;25,8;23;85,791667;65;9,7;2,075;
2008-04-21;3,4;1006,7125;23,120833;30,5;26,458333;23,5;82,583333;63;13,9;2,454167;
2008-04-22;2,8;1006,045833;22,933333;30,5;26,9125;23,6;79,583333;60;10,4;2,1625;
2008-04-23;9,6;1006,045833;23,133333;28,8;24,9625;23,8;89,791667;75;21,3;1,366667;
2008-04-24;3,2;1005,525;22,708333;31;26,316667;22,2;81,625;63;6,3;1,354167;
2008-04-25;1;1005,3;22,395833;31;27,333333;23,8;75,25;59;9,2;2,008333;
2008-04-26;0;1005,45;21,445833;30,8;26,595833;22,7;74,75;50;9,1;1,795833;
2008-04-27;4,4;1005,95;22,470833;27;23,875;23,4;91,916667;73;10,3;1,5375;
2008-04-28;84;1005,3;23,125;30,2;25,829167;22,9;85,541667;66;23,8;1,558333;
2008-04-29;6;1005,0875;22,420833;30,9;26,991667;23,1;76,833333;53;8;1,741667;
2008-04-30;0;1004,825;22,158333;30,8;26,95;23,3;76;54;6,9;1,8875;
2008-05-01;5,6;1005,356522;23,165217;27,9;25,217391;23,4;88,608696;76;8,1;1,526087;
2008-05-02;30;1005,554167;22,2375;30,1;26,366667;23,4;79,166667;58;9,9;2,104167;
2008-05-03;0;1005,9625;22,029167;30,9;26,6125;22,6;76,875;57;8,2;1,829167;
2008-05-04;0;1006,9375;22,316667;31;27,2125;23,2;75,291667;55;8,6;2,370833;
2008-05-05;,4;1006,7125;23,1375;31,9;27,145833;24;79,625;59;5,7;1,5125;
2008-05-06;0;1006,329167;23,2;31,9;27,379167;24,3;78,708333;54;7,7;1,5625;
2008-05-07;48,4;1006,183333;23,295833;29,2;25,6625;22,4;87,125;67;6,6;1,004167;
2008-05-08;1,2;1005,825;22,820833;30,9;26,65;23,2;80,666667;59;7,1;1,6625;
2008-05-09;2,6;1005,6125;23,408333;29,9;25,808333;24,1;86,916667;69;7,9;1,483333;
2008-05-10;18;1007,020833;22,866667;29,7;25,7625;23,5;84,833333;62;9,4;2,1;
2008-05-11;6,2;1008,004167;22,816667;30;25,833333;23,2;84,041667;64;10,4;2,708333;
2008-05-12;8;1008,320833;22,454167;29,3;25,45;23,1;84,083333;67;13,3;3,041667;
2008-05-13;4,8;1008,8625;21,741667;28,7;25,4625;23,1;80,708333;65;11,1;2,9625;
2008-05-14;3;1008,379167;21,725;26,4;24,304167;23,1;85,708333;68;11,7;3,004167;
2008-05-15;34,6;1009,4625;22,316667;25,2;23,783333;22,3;91,458333;84;7,4;2,108333;
2008-05-16;20;1009,0125;22,608333;30,2;25,716667;22,5;83,791667;60;7,4;2,116667;
2008-05-17;0;1008,945833;22,2875;30,5;26,1375;23;80,125;54;8,9;2,5;
2008-05-18;10,4;1009,033333;22,358333;29,5;25,575;22,8;83,083333;61;8,8;2,4125;
2008-05-19;0;1007,991667;21,8;30,1;25,558333;21,8;80,708333;57;8,2;1,8875;
2008-05-20;0;1007,516667;22,116667;29,8;26,15;23,2;79,458333;57;8,3;2,291667;
2008-05-21;0;1006,933333;22,05;29,4;25,954167;22,8;79,791667;62;7,3;1,916667;
2008-05-22;23,2;1007,7375;21,995833;29,8;25,8125;22,2;80,541667;57;8,8;2,354167;
2008-05-23;,2;1007,1;22,0375;29,5;25,741667;22,5;80,791667;57;8,7;1,979167;
2008-05-24;,2;1007,141667;22,341667;30,3;25,983333;22,9;81,125;61;7,2;1,875;
2008-05-25;2,6;1006,85;22,066667;30,2;25,9;22,8;80,458333;56;8,5;2,1875;
2008-05-26;,8;1006,858333;22,504167;30,3;26;23,3;82,125;61;9,8;2,045833;
2008-05-27;53,2;1007,579167;22,4875;25,8;23,683333;22,9;93;85;7,5;1,404167;
2008-05-28;30,6;1007,083333;21,533333;29,2;25,191667;22,2;81,25;56;11,3;2,729167;
2008-05-29;3;1007,033333;22,1;29,7;26,020833;23;79,833333;60;10,5;2,6625;
2008-05-30;,8;1008,175;22,345833;29,6;25,404167;23,4;83,625;65;10,8;2,904167;
2008-05-31;34;1008,95;22,616667;27,9;24,666667;23,2;88,708333;73;12,4;2,3375;
2008-06-01;16,6;1008,934783;21,391304;28,4;25,195652;22,3;80,478261;62;10,7;2,3;
2008-06-02;0;1008,45;20,108333;29,5;25,1875;21,3;74,458333;55;12,1;3,0375;
2008-06-03;8,6;1008,579167;21,954167;29,1;25,545833;22,5;81,291667;60;9,1;2,445833;
2008-06-04;8;1009,295833;22,316667;25,5;23,645833;22,7;92,333333;86;5;1,3625;
2008-06-05;16;1009,783333;21,9375;29,1;24,979167;21,6;83,958333;64;7,9;1,975;
2008-06-06;12,2;1009,677273;21,572727;29,3;26,031818;23;77,5;60;10,2;2,713636;
2008-06-07;1;1008,854167;21,533333;29,1;26,2125;23,9;75,875;61;12,4;3,220833;
2008-06-08;26,2;1008,033333;21,783333;27,7;25,029167;22,6;82,666667;67;12,4;2,645833;
2008-06-09;14,4;1008,541667;20,920833;28,7;25,558333;22,3;76,25;60;13,8;3,55;
2008-06-10;,2;1008,945833;20,8875;29,7;25,675;21,9;75,833333;56;8,7;2,191667;
2008-06-11;0;1008,616667;20,1625;29;25,308333;21,4;74,25;53;10,4;2,6625;
2008-06-12;0;1008,833333;20,854167;28,9;25,4625;23;76,291667;56;12,9;3,4375;
2008-06-13;,4;1008,5125;20,3625;29;25,079167;21,5;76;56;10,8;3,1875;
2008-06-14;5,8;1008,175;21,6375;27,2;23,670833;21,9;88,541667;75;9,6;2,104167;
2008-06-15;18,8;1008,975;21,820833;28,3;23,941667;21,5;88,375;67;8,6;1,958333;
2008-06-16;147,6;1010,0375;21,933333;25,6;23,4;22,1;91,666667;80;9,7;2,25;
2008-06-17;26,6;1009,683333;21,625;26,9;23,516667;21,7;89,583333;73;10,4;2,375;
2008-06-18;6,8;1008,958333;20,516667;28,6;24,4;21,6;79,958333;52;9,4;2,633333;
2008-06-19;0;1008,670833;20,370833;29,1;24,175;19,9;80,208333;60;9;2,270833;
2008-06-20;4,4;1008,3125;20,333333;28,2;24,5875;21,9;78,208333;59;13,6;3,095833;
2008-06-21;,2;1007,8375;19,345833;27,5;23,329167;19,6;78,791667;59;11,4;2,425;
2008-06-22;,2;1008,1;20,458333;28,9;24,5875;20,5;78,375;62;8,9;2,358333;
2008-06-23;0;1009,079167;21,729167;29,7;24,95;21,6;83,125;60;9;1,920833;
2008-06-24;31;1010,454167;21,0375;28,4;24,033333;21,4;84,041667;62;10,7;2,720833;
2008-06-25;3,6;1009,370833;20,5625;28,3;24,483333;21,6;80,083333;56;9,9;2,65;
2008-06-26;1,8;1009,220833;20,554167;28,5;24,658333;21,5;79;58;12,8;2,866667;
2008-06-27;0;1010,045833;20,679167;28,9;24,091667;21,5;81,791667;62;14,3;3,5;
2008-06-28;6,8;1011,6875;20,633333;28,2;25,420833;22,6;75,333333;64;11,8;3,570833;
2008-06-29;17;1011,716667;20,554167;27,5;24,258333;22,2;80,625;58;12,6;2,9625;
2008-06-30;,4;1010,695833;20,954167;26,2;23,1375;21,2;87,625;74;13,6;2,841667;
2008-07-01;88,6;1010,608333;22,033333;25,2;23,808333;22,2;89,916667;82;9,9;3,116667;
2008-07-02;13,8;1011,191667;19,925;27,9;24,683333;22,3;75,625;59;10,4;3,1125;
2008-07-03;,6;1010,275;20,491667;27,4;23,595833;21,2;83,5;65;11,7;2,966667;
2008-07-04;2,2;1009,741667;20,291667;28;23,883333;20,4;81,333333;61;8,2;2,179167;
2008-07-05;1,2;1010,158333;21,229167;26,5;23,191667;21,2;88,791667;81;10,6;2,054167;
2008-07-06;8,8;1011,2625;21,3125;28,5;24,670833;22,3;82,375;58;10;2,325;
2008-07-07;13,8;1010,9375;21,020833;27,4;24,0625;21,1;83,666667;66;11,5;3,220833;
2008-07-08;10,8;1010,6;20,920833;26,7;22,895833;21,2;88,75;70;13,2;2,741667;
2008-07-09;34,6;1010,533333;20,7;27,8;24,079167;21,3;82,416667;62;11,3;2,316667;
2008-07-10;,2;1010,879167;21,5375;28,1;25,170833;22,3;80,541667;68;10,3;2,8375;
2008-07-11;3,4;1011,195833;21,979167;28;25,516667;23,4;81,125;69;11,2;3,358333;
2008-07-12;,6;1010,195833;21,266667;28,2;24,633333;22,3;82,166667;63;12,6;3,491667;
2008-07-13;1,6;1009,8375;18,895833;27,9;24,008333;21,1;74;53;14,9;3,929167;
2008-07-14;0;1009,704167;18,6875;28,8;24,016667;20,4;72,916667;53;12,4;3,895833;
2008-07-15;0;1011,233333;19,704167;26,4;23,154167;21,7;81,083333;67;13,4;3,504167;
2008-07-16;13,4;1011,595833;20,7625;26,7;23,4125;21,6;85,25;72;13,5;3,254167;
2008-07-17;21,8;1010,333333;21,4;28;24,0625;21;85,708333;70;9,7;2,425;
2008-07-18;1,4;1010,345833;21,291667;28,4;25,6;23,8;77,416667;64;9,1;2,25;
2008-07-19;0;1011,3875;21,083333;28,4;25,6625;24;76,166667;62;10,8;2,979167;
2008-07-20;1,6;1011,4375;20,85;27,7;24,204167;21,7;82,291667;64;10,9;2,741667;
2008-07-21;5,6;1011,145833;20,829167;27,6;24,379167;21,7;81,083333;67;11,8;3,05;
2008-07-22;2,4;1011,579167;19,8375;28,2;25,591667;22,9;70,708333;59;11,9;3,916667;
2008-07-23;0;1010,858333;19,645833;28;25,408333;23,1;70,791667;60;13;3,995833;
2008-07-24;,4;1009,979167;20,5875;28,5;24,295833;21,2;80,208333;66;11,9;3,4875;
2008-07-25;3,8;1010,9625;21,258333;25,5;23,420833;22,3;87,916667;76;8,6;2,3625;
2008-07-26;5,6;1011,104167;21,533333;26,2;23,608333;21,9;88,375;74;10,7;2,4625;
2008-07-27;4,8;1011,629167;20,345833;28,3;24,308333;21,9;79,25;59;14;3,704167;
2008-07-28;5,2;1011,933333;19,783333;27,8;24,4125;21,8;75,791667;64;14,3;3,829167;
2008-07-29;1;1010,829167;19,720833;27,7;22,779167;20,1;83,375;59;12,4;2,858333;
2008-07-30;3,2;1009,908333;20,55;27,7;23,458333;21,4;84,333333;64;11,9;2,733333;
2008-07-31;2,6;1009,841667;19,7875;27,5;23,833333;20,9;78,791667;62;12,1;3,354167;
2008-08-01;,2;1009,670833;19,858333;28,5;24,154167;20,4;78;54;10,1;2,791667;
2008-08-02;63,4;1009,2875;21,45;28,1;23,5375;21,3;88,375;68;8,7;1,629167;
2008-08-03;7;1009,320833;21,783333;28,8;24,7625;22,4;84,208333;65;6,3;1,395833;
2008-08-04;0;1009,1875;21,3;28,5;25,041667;21,8;80,375;62;7,5;1,6875;
2008-08-05;0;1009,658333;20,2375;28,1;24,883333;22,1;76,208333;57;11,3;3,195833;
2008-08-06;1,2;1009,1875;20,6125;27,2;23,2875;20,7;85,5;63;10,9;2,966667;
2008-08-07;49,6;1008,904167;21,958333;26,7;23,641667;22,3;90,625;75;11;2,891667;
2008-08-08;53,2;1009,075;20,8125;27,6;24,975;22,2;78,333333;63;11,4;3,45;
2008-08-09;0;1010,379167;19,754167;28,5;23,695833;20;79,291667;58;10,3;2,845833;
2008-08-10;,8;1010,075;20,445833;27,4;24,120833;21,7;80,583333;64;11,2;2,929167;
2008-08-11;7,8;1009,533333;21,004167;27,3;23,575;21,4;85,833333;68;11,9;3,1125;
2008-08-12;20,2;1009,483333;20,766667;27,9;24,245833;20,9;81,958333;64;11,4;3,008333;
2008-08-13;1;1010,633333;19,829167;27,7;24,3625;20,8;76,833333;58;9,5;2,675;
2008-08-14;0;1011,116667;19,716667;28,3;24,741667;20,4;74,125;58;12,3;3,3;
2008-08-15;,6;1011,1625;19,583333;28,5;24,654167;21,3;74,083333;56;11;3,416667;
2008-08-16;,8;1009,766667;20,745833;28,4;24,070833;20,8;82,333333;62;10,6;2,975;
2008-08-17;20,2;1009,083333;20,533333;27,3;24,0375;21,5;81,458333;64;12,7;3,579167;
2008-08-18;,6;1009,520833;18,541667;27,7;23,716667;19,5;73,791667;49;12,1;3,170833;
2008-08-19;0;1009,170833;19,85;27,5;23,508333;19,9;80,5;64;11,7;3,1125;
2008-08-20;5,2;1008,683333;20,408333;28;24,3125;21,2;79,416667;65;12,5;3,666667;
2008-08-21;0;1009,0125;20,395833;28,1;24,2375;21;79,833333;63;11,5;3,2;
2008-08-22;12,6;1009,529167;20,9;27,9;24,845833;22,1;79,375;59;10,7;3,558333;
2008-08-23;0;1010,4125;19,654167;28,6;24,075;19,9;77,333333;59;11,3;3,004167;
2008-08-24;0;1010,4125;19,0125;28,2;24,045833;20,5;74,5;56;12,6;3,258333;
2008-08-25;0;1010;19,3875;27,3;23,141667;20,5;79,833333;62;13,4;3,7;
2008-08-26;9,8;1009,116667;21,241667;27,3;23,591667;21,1;87,041667;73;9,9;2,5625;
2008-08-27;11,2;1008,716667;21,333333;28,4;24,733333;21,8;81,958333;64;8,8;2,233333;
2008-08-28;0;1008,395833;20,675;28,5;24,366667;21,5;81;59;11;2,6375;
2008-08-29;28,8;1009,366667;21,083333;27,1;23,654167;21,5;86;65;7,8;2,041667;
2008-08-30;5,8;1008,708333;21,358333;28,1;25,279167;22,7;79,375;61;8,4;1,9625;
2008-08-31;0;1008,7625;20,729167;28,9;25,679167;22,5;74,791667;60;8,4;1,879167;
2008-09-01;,2;1008,908333;20,433333;28,8;25,920833;23,1;72,125;59;8,7;2,2875;
2008-09-02;1,8;1008,85;20,45;28,4;25,070833;21,3;76,25;54;10,7;3,229167;
2008-09-03;5,8;1008,879167;20,933333;28,1;25,091667;22,9;78,25;60;11,2;3,3875;
2008-09-04;53,6;1008,983333;21,420833;27,3;24,104167;22;85,791667;68;12,5;3,1625;
2008-09-05;10,4;1009,858333;20,295833;28,4;24,258333;21,3;79,625;56;11,5;3,133333;
2008-09-06;1,8;1010,6625;21,041667;28,2;24,620833;21,6;81,333333;61;10,4;3,004167;
2008-09-07;3,6;1011,1;21,691667;28,3;25,7875;23,1;78,333333;67;12,5;3,929167;
2008-09-08;0;1010,975;20,529167;28,3;25,766667;23,8;73,166667;61;13,1;3,825;
2008-09-09;2,4;1011,083333;20,0625;28,3;25,191667;22;73,958333;55;12,6;3,4625;
2008-09-10;3;1011,466667;21,3625;27,9;24,404167;21,9;83,625;69;13,8;3,570833;
2008-09-11;7,6;1011,083333;21,583333;28,6;25,841667;23,5;77,708333;66;11,6;3,816667;
2008-09-12;0;1010,558333;21,020833;29,2;26,325;24,4;73,166667;52;11,1;3,854167;
2008-09-13;0;1010,179167;20,2625;28,8;25,9625;24,1;71,208333;56;10,2;3,5;
2008-09-14;3,8;1010,5375;20,633333;28,8;25,245833;21,9;76,375;57;12;3,629167;
2008-09-15;0;1011,041667;20,579167;28,9;26,1625;24,4;71,541667;61;10,9;3,333333;
2008-09-16;0;1010,445833;20,658333;28,8;26,129167;24,6;72;53;11,5;3,775;
2008-09-17;,4;1009,7375;20,9125;28,7;25,4625;23;76,208333;60;12,2;3,6375;
2008-09-18;,2;1009,566667;20,366667;28,7;25,866667;23,8;71,916667;60;12,6;3,779167;
2008-09-19;0;1010,516667;20,683333;29;25,516667;22,1;75,291667;56;12,3;3,179167;
2008-09-20;0;1011,075;20,204167;28,9;25,479167;22,4;73,083333;56;12,1;3,491667;
2008-09-21;0;1010,641667;19,7375;28,9;25,258333;20,7;72,166667;54;9,9;3,083333;
2008-09-22;0;1010,125;19,9125;28,9;25,433333;21,7;72,416667;53;9,5;2,55;
