Data Medicao,TEMPERATURA MÁXIMA(°C),PRECIPITAÇÃO MÁXIMA(mm),"VENTO, RAJADA MÁXIMA(m/s)",VELOCIDADE DO VENTO MÁXIMA(m/s),RADIAÇÃO MÁXIMA(Kj/m²)
2009-01-04,31.2,0.0,10.2,2.7625,3673.1540000000005
2009-01-11,31.4,0.2,11.1,3.304167,3810.2509999999997
2009-01-18,31.3,14.4,10.7,3.079167,3770.4590000000003
2009-01-25,30.8,8.0,7.9,1.908333,3707.0040000000004
2009-02-01,31.2,28.6,11.7,3.186957,3675.485
2009-02-08,31.1,13.6,10.8,1.879167,3873.659
2009-02-15,31.2,9.2,11.0,2.279167,3656.961
2009-02-22,31.3,88.8,8.7,2.083333,3784.103
2009-03-01,30.8,23.4,12.4,2.3875,3900.7659999999996
2009-03-08,31.1,56.8,9.9,1.979167,3568.5209999999997
2009-03-15,31.8,0.0,10.6,2.404167,3840.492
2009-03-22,31.4,19.0,9.8,1.808333,3928.525
2009-03-29,32.0,3.4,8.7,1.995833,3928.828
2009-04-05,32.3,5.4,8.2,2.208333,3733.925
2009-04-12,31.5,51.8,18.5,1.6875,3572.289
2009-04-19,31.4,46.0,11.0,2.329167,3569.1279999999997
2009-04-26,31.2,56.6,8.0,1.9875,3460.937
2009-05-03,30.5,66.2,10.3,2.941667,3521.801
2009-05-10,30.9,55.8,8.5,2.1375,3375.469
2009-05-17,31.0,87.6,7.8,1.720833,3420.239
2009-05-24,30.2,116.0,12.1,2.729167,3251.422
2009-05-31,30.6,27.4,10.1,2.3125,3318.79
2009-06-07,30.0,46.0,9.3,2.6375,3332.6059999999998
2009-06-14,29.5,22.0,11.8,2.883333,3045.913
2009-06-21,29.5,18.4,10.9,2.866667,3107.938
2009-06-28,29.7,43.8,12.1,2.354167,3143.59
2009-07-05,29.1,83.2,12.8,2.691667,3104.4809999999998
2009-07-12,29.5,53.6,11.5,2.8,3226.515
2009-07-19,29.2,53.0,11.7,2.916667,3037.782
2009-07-26,29.0,33.4,13.3,2.3,3133.353
2009-08-02,28.9,9.6,11.1,2.745833,3272.921
2009-08-09,28.9,27.8,12.5,3.3125,3267.123
2009-08-16,29.1,6.6,12.2,3.691667,3516.837
2009-08-23,29.1,8.2,10.3,3.066667,3682.8720000000003
2009-08-30,29.2,24.0,12.4,3.283333,3668.26
2009-09-06,29.6,0.8,11.6,3.3125,3608.199
2009-09-13,29.6,20.6,11.8,3.291667,3606.0170000000003
2009-09-20,29.7,9.8,9.1,2.441667,3791.362
2009-09-27,29.7,0.4,12.5,3.729167,3830.058
2009-10-04,30.0,4.0,11.4,3.141667,3767.781
2009-10-11,29.7,0.2,8.6,2.64,3888.4840000000004
2009-10-18,30.9,2.2,10.4,2.620833,4214.369000000001
2009-10-25,30.4,1.4,8.8,2.608333,3988.395
2009-11-01,30.8,0.0,9.6,2.741667,3923.968
2009-11-08,31.1,0.4,11.4,3.008333,3833.25
2009-11-15,30.9,49.6,10.6,2.6625,3818.755
2009-11-22,30.3,0.6,9.8,2.9625,3758.5809999999997
2009-11-29,30.5,4.2,10.5,2.733333,3706.118
2009-12-06,30.6,7.4,8.4,2.341667,3756.447
2009-12-13,30.5,0.0,10.4,2.7875,3644.6240000000003
2009-12-20,30.9,8.8,12.4,2.775,3603.722
2009-12-27,30.9,12.6,9.1,2.541667,3604.232
2010-01-03,31.2,11.8,8.6,2.033333,3829.934
2010-01-10,31.3,18.6,8.7,2.279167,3665.2059999999997
2010-01-17,30.9,6.8,9.2,2.2125,3462.908
2010-01-24,30.9,20.6,10.2,2.241667,3846.1
2010-01-31,31.6,1.4,11.6,2.916667,3579.341
2010-02-07,32.0,3.0,10.9,3.183333,3517.43
2010-02-14,31.9,9.6,9.9,2.8375,3913.137
2010-02-21,31.7,3.6,12.0,3.954167,3658.3909999999996
2010-02-28,32.2,11.6,8.4,2.1125,3823.6259999999997
2010-03-07,32.4,0.0,8.6,2.141667,3958.3720000000003
2010-03-14,32.5,2.0,8.6,2.195833,3927.728
2010-03-21,32.7,6.8,10.8,2.883333,3810.327
2010-03-28,32.6,8.4,12.5,2.283333,3696.908
2010-04-04,33.0,3.6,9.8,2.425,3626.593
2010-04-11,32.1,32.6,9.5,1.9625,3431.493
2010-04-18,32.1,23.2,12.9,2.4125,3552.637
2010-04-25,31.7,24.4,11.9,3.025,3621.157
2010-05-02,31.9,4.2,11.3,2.791667,3523.845
2010-05-09,31.2,18.8,12.9,3.195833,3451.31
2010-05-16,32.0,7.6,11.0,2.766667,3360.165
2010-05-23,31.3,1.2,9.9,2.9875,3199.0559999999996
2010-05-30,31.3,7.4,10.8,2.9125,3231.616
2010-06-06,30.9,52.6,8.6,2.295833,3278.929
2010-06-13,30.7,6.6,11.6,3.358333,3220.7340000000004
2010-06-20,30.1,53.6,11.4,3.82,3159.7459999999996
2010-06-27,30.5,0.4,14.3,4.885714,3261.264
2010-07-04,29.4,0.0,13.0,5.3,3191.417
2010-07-11,29.2,8.2,12.2,3.9,3226.7209999999995
2010-07-18,29.8,0.8,12.2,5.24,3147.765
2010-07-25,28.8,0.4,12.1,5.9,3329.1209999999996
2010-08-01,28.9,0.2,12.1,4.9,3271.2009999999996
2010-08-08,29.0,3.6,13.6,5.133333,3483.86
2010-08-15,29.0,0.8,12.6,4.95,3515.317
2010-08-22,29.2,4.6,16.1,6.16,3414.6679999999997
2010-08-29,28.4,0.2,12.5,4.8,3389.012
2010-09-05,28.8,1.6,13.2,5.871429,3768.881
2010-09-12,31.8,16.4,14.2,3.65,3626.203
2010-09-19,29.0,4.2,12.4,3.8125,3625.393
2010-09-26,28.9,14.8,12.5,3.883333,3638.426
2010-10-03,30.3,2.2,11.2,3.4625,3818.028
2010-10-10,30.5,0.2,12.6,3.2625,3854.3520000000003
2010-10-17,30.2,7.6,13.6,4.183333,3623.804
2010-10-24,29.9,16.0,8.6,2.545833,3898.112
2010-10-31,30.1,1.8,8.6,2.270833,3875.555
2010-11-07,30.8,0.8,10.4,3.029167,3794.802
2010-11-14,30.7,1.8,11.9,4.25,3810.007
2010-11-21,30.8,0.0,10.4,2.5875,3913.158
2010-11-28,30.4,0.6,9.0,2.65,4067.2929999999997
2010-12-05,30.8,0.0,12.7,3.75,3629.281
2010-12-12,30.8,3.2,10.7,3.6125,3799.752
2010-12-19,31.3,24.6,10.1,3.004167,3679.3
2010-12-26,30.6,4.8,10.9,3.225,3594.922
2011-01-02,30.9,1.2,10.1,2.625,3863.366
2011-01-09,31.2,31.4,11.0,3.025,3681.052
2011-01-16,30.7,6.4,9.8,2.3375,3735.61
2011-01-23,31.2,67.2,9.7,2.454167,3688.828
2011-01-30,30.6,5.4,9.8,2.395833,3887.2740000000003
2011-02-06,31.2,4.4,9.3,2.566667,3726.5690000000004
2011-02-13,31.2,86.4,11.3,3.4125,3876.613
2011-02-20,30.5,10.6,10.1,2.45,3898.3940000000002
2011-02-27,31.2,5.2,8.2,2.0125,3766.968
2011-03-06,31.0,0.6,7.6,1.979167,3963.015
2011-03-13,31.3,21.2,10.4,2.320833,3805.433
2011-03-20,31.3,22.2,8.1,1.71,4357.35
2011-03-27,31.6,8.8,9.6,2.194444,4383.104
2011-04-03,31.4,15.2,9.5,2.1,4866.596
2011-04-10,31.1,45.4,13.7,2.494737,4599.587
2011-04-17,30.4,67.6,11.5,2.7375,4804.265
2011-04-24,29.9,25.8,10.2,2.141176,4813.069
2011-05-01,30.8,19.2,11.8,2.682353,4789.002
2011-05-08,29.9,36.6,12.6,3.564706,4825.943
2011-05-15,30.4,10.0,11.5,3.084211,4590.954000000001
2011-05-22,30.2,65.4,12.4,3.3375,4802.738
2011-05-29,30.0,16.6,11.4,3.341176,4529.001
2011-06-05,29.8,38.4,11.6,3.305882,4355.903
2011-06-12,29.4,16.4,12.8,3.038889,4842.748
2011-06-19,29.2,15.2,14.4,3.625,4473.799
2011-06-26,29.3,18.2,10.3,3.084211,4301.380999999999
2011-07-03,29.1,27.8,12.7,3.31875,4347.187
2011-07-10,28.8,20.8,13.6,3.061111,4840.36
2011-07-17,28.5,59.2,12.1,3.076471,4306.897
2011-07-24,28.8,11.2,13.1,3.526667,4487.528
2011-07-31,28.7,8.2,13.9,4.2,4878.213
2011-08-07,29.1,19.2,13.0,3.433333,4884.305
2011-08-14,28.9,15.8,11.9,3.147059,4597.148
2011-08-21,29.0,12.0,12.6,2.884211,4717.262
2011-08-28,29.0,15.2,12.3,3.264286,4837.858
2011-09-04,29.1,4.4,14.1,4.254167,3435.0229999999997
2011-09-11,29.3,3.4,14.8,3.8375,3611.667
2011-09-18,29.0,7.8,15.6,4.333333,3565.488
2011-09-25,29.7,7.0,15.0,3.891667,3667.512
2011-10-02,29.3,2.4,12.8,3.579167,3726.7209999999995
2011-10-09,29.9,1.4,12.0,3.6875,3966.452
2011-10-16,29.8,10.0,9.5,2.4125,3467.328
2011-10-23,29.8,1.2,11.5,3.016667,3883.634
2011-10-30,30.3,1.2,9.8,2.829167,4010.752
2011-11-06,30.6,3.6,9.0,2.3875,3967.558
2011-11-13,30.2,8.4,11.6,3.404167,3891.4829999999997
2011-11-20,30.4,4.0,9.4,2.766667,3923.275
2011-11-27,30.7,0.6,10.0,2.420833,3889.07
2011-12-04,30.3,6.2,10.3,2.479167,3824.6459999999997
2011-12-11,30.3,8.0,11.6,2.679167,3656.9429999999998
2011-12-18,30.9,2.2,9.7,2.9125,3887.685
2011-12-25,30.9,4.2,10.2,3.008333,3547.243
2012-01-01,30.9,8.6,9.7,2.7125,3978.0440000000003
2012-01-08,30.8,6.2,11.2,2.65,3907.643
2012-01-15,30.9,11.6,10.3,3.041667,3839.072
2012-01-22,30.3,36.8,9.4,2.041667,3926.3740000000003
2012-01-29,30.4,64.2,20.0,2.245833,3859.478
2012-02-05,30.2,2.8,13.1,3.55,3759.6290000000004
2012-02-12,30.7,3.4,10.8,3.0875,3769.215
2012-02-19,27.7,0.0,6.9,,995.928
2012-02-26,,,,,
2012-03-04,,,,,
2012-03-11,,,,,
2012-03-18,,,,,
2012-03-25,,,,,
2012-04-01,,,,,
2012-04-08,,,,,
2012-04-15,,,,,
2012-04-22,,,,,
2012-04-29,,,,,
2012-05-06,,,,,
2012-05-13,,,,,
2012-05-20,,,,,
2012-05-27,,,,,
2012-06-03,,,,,
2012-06-10,,,,,
2012-06-17,,,,,
2012-06-24,,,,,
2012-07-01,,,,,
2012-07-08,,,,,
2012-07-15,,,,,
2012-07-22,,,,,
2012-07-29,,,,,
2012-08-05,,,,,
2012-08-12,,,,,
2012-08-19,,,,,
2012-08-26,,,,,
2012-09-02,,,,,
2012-09-09,,,,,
2012-09-16,,,,,
2012-09-23,,,,,
2012-09-30,,,,,
2012-10-07,,,,,
2012-10-14,,,,,
2012-10-21,,,,,
2012-10-28,,,,,
2012-11-04,,,,,
2012-11-11,,,,,
2012-11-18,,,,,
2012-11-25,,,,,
2012-12-02,,,,,
2012-12-09,,0.0,,,
2012-12-16,31.5,0.4,10.0,2.820833,3708.583
2012-12-23,31.7,0.2,9.2,2.691667,3824.946
2012-12-30,32.0,0.8,8.9,2.9,3840.151
2013-01-06,32.2,7.8,9.5,2.8,3893.586
2013-01-13,31.9,7.4,10.9,2.929167,3938.3070000000002
2013-01-20,31.5,11.2,11.1,2.941667,3939.1240000000003
2013-01-27,32.1,0.0,8.5,2.45,3826.0209999999997
2013-02-03,32.4,2.6,10.0,2.970833,3973.563
2013-02-10,32.4,0.0,11.6,3.55,3865.3790000000004
2013-02-17,32.6,3.6,11.7,3.4375,3777.684
2013-02-24,32.3,15.2,10.0,2.9,3774.947
2013-03-03,32.5,9.6,12.4,3.366667,3869.3740000000003
2013-03-10,32.2,7.4,10.1,2.866667,3757.485
2013-03-17,32.7,0.6,8.7,2.545833,3885.4440000000004
2013-03-24,32.7,0.6,8.8,2.258333,4080.099
2013-03-31,32.7,0.4,10.1,2.9,3878.6290000000004
2013-04-07,32.2,17.8,9.5,2.254167,3932.13
2013-04-14,32.5,2.4,10.4,2.7125,3754.321
2013-04-21,32.5,9.4,10.2,2.0125,3806.804
2013-04-28,30.9,59.0,11.4,2.808333,3578.9309999999996
2013-05-05,31.1,56.4,12.7,3.2625,3515.5029999999997
2013-05-12,31.6,8.0,10.7,2.741667,3438.011
2013-05-19,30.8,42.6,11.2,3.029167,3320.3
2013-05-26,30.6,37.4,10.3,2.65,3350.12
2013-06-02,31.1,30.4,11.1,2.675,3299.935
2013-06-09,29.9,10.4,11.2,2.475,3281.9179999999997
2013-06-16,29.8,31.4,10.2,2.35,3285.586
2013-06-23,30.2,0.4,6.7,,3170.136
2013-06-30,,,,,
2013-07-07,,,,,
2013-07-14,,,,,
2013-07-21,33.2,28.6,10.8,3.133333,4220.08
2013-07-28,29.5,43.0,11.5,2.854167,3405.3790000000004
2013-08-04,29.4,14.0,10.4,2.033333,3471.675
2013-08-11,29.5,24.4,10.9,3.175,3513.5040000000004
2013-08-18,28.9,18.6,9.8,2.533333,3544.844
2013-08-25,29.3,34.2,13.4,3.254167,3586.583
2013-09-01,29.2,103.6,12.5,3.6875,3429.515
2013-09-08,29.1,189.6,12.0,3.4,3591.03
2013-09-15,29.2,16.2,12.4,3.8,3749.798
2013-09-22,29.7,5.4,13.4,3.591667,3736.3379999999997
2013-09-29,29.6,7.8,9.9,2.858333,3734.2490000000003
2013-10-06,30.1,0.2,10.0,2.733333,3863.9309999999996
2013-10-13,30.4,2.0,12.5,3.75,3899.16
2013-10-20,31.0,5.2,10.0,2.5125,3784.758
2013-10-27,30.6,15.6,11.3,3.041667,3857.368
2013-11-03,30.1,8.0,10.3,2.666667,3839.258
2013-11-10,30.8,5.8,10.3,2.7375,3750.639
2013-11-17,30.8,1.2,10.0,2.95,3755.6820000000002
2013-11-24,30.7,6.4,10.7,3.145833,3783.1820000000002
2013-12-01,31.2,5.0,9.6,2.995833,3803.737
2013-12-08,31.7,0.0,9.0,2.45,3773.8
2013-12-15,32.0,0.6,9.6,2.579167,3798.938
2013-12-22,31.5,1.4,10.9,2.983333,3669.263
2013-12-29,32.1,1.0,8.4,2.616667,3638.9120000000003
2014-01-05,31.6,3.2,8.5,2.220833,3716.6040000000003
